epoch,lr,train_loss,val_loss,train_axis,val_axis,val_score,val_geom_hva_mae,val_geom_ima_mae,val_direct_hva_mae,val_direct_ima_mae
1,0.00011998501997907915,0.28800649524714467,0.21404982772138384,0.008917271595736834,0.006358594926833002,61.39488339424133,23.284078103524667,27.883100968820077,9.842115313918502,10.613293329874674
2,0.00011994008745920823,0.12074825323313615,0.11854124234782325,0.0028931895421791666,0.0031353560862717807,54.37057646557136,20.2072742956656,18.447661929660374,12.149142503738403,19.282137976752388
3,0.00011986522506526415,0.08028167636601578,0.08573604899424093,0.0018228073137103987,0.0018515295383554917,49.0651478237576,20.5034054296988,17.906017992231583,9.196990966796875,12.114457836857548
4,0.00011976047049271673,0.0654652560208465,0.05688803822354034,0.0015362837278620808,0.0018267481354996562,27.783278063491537,14.534953717832211,6.00660757665281,8.807685922693324,5.675747615319711
5,0.00011962587648864794,0.0549701337086063,0.0928022246117945,0.0012924311662906073,0.00309927420069774,32.765726623711764,18.516301349357324,4.889277837894581,11.786645942264133,6.933648930655585
6,0.00011946151082519212,0.05281458541471074,0.10834034532308578,0.0012757837588728313,0.0032828893659084483,41.40661321745978,23.044414908797652,4.959406676115813,9.642163647545708,17.16341961754693
7,0.0001192674562654107,0.04111621493010174,0.025661184590447833,0.001021423771979611,0.000767293085421746,21.249369696334554,11.940602708745885,3.197393505661576,7.971934724737097,4.250812239117092
8,0.00011904381052161847,0.03626345998297135,0.10062146628344501,0.0009574442518439949,0.0034621772701265634,31.92281754370089,11.5708747793127,8.808933328699183,9.658287631140816,13.4277312402372
9,0.00011879068620618251,0.03224274999256565,0.1531339238087336,0.000820383449066474,0.0051715250937613075,39.46847786726775,14.807346750188756,8.783156359637225,11.426476425594753,20.329473089288783
10,0.0001185082107748185,0.02932642839254348,0.30078207784228855,0.0007526391212327817,0.010474636547129464,51.85524997004756,23.35809509842484,6.908588179835567,13.790941697579843,29.386191685994465
11,0.00011819652646241287,0.027069670742841116,0.2022699777174879,0.0006823113196072531,0.0069435022046996486,42.58464871512519,17.56161343609845,6.567755496060407,13.597034825219048,23.313524740713614
12,0.00011785579021140327,0.024813965649427103,0.12316483090183249,0.0006364233072567294,0.0041966112222763955,30.471609044958043,10.572257509937993,6.4467518153014005,11.398692978752983,15.506506460684317
13,0.00011748617359275336,0.02595582734268736,0.011216531956085452,0.0006841306473940672,0.00036136931157670915,13.562930312421587,6.341729014008133,2.952890027452398,5.145433377336572,3.3911891645855374
14,0.00011708786271956164,0.026816206393947065,0.006111234064317412,0.0007365768792560245,0.0001844492093099419,11.97747070480276,4.621085634937993,3.2119651547184698,5.067781651461566,3.2210581788310297
15,0.00011666105815334787,0.02449858980471959,0.007871810829749814,0.000615442085201183,0.00026437190535943955,11.37965644509704,4.122380177179973,3.7242098914252386,3.6743846557758473,3.3917480972078113
16,0.00011620597480306436,0.022113900990203512,0.008473512319916929,0.0006028795025246917,0.0002645649610376158,12.390757110383776,4.625719732708401,3.4931799835628934,4.568730804655287,3.974983983569675
17,0.0001157228418168828,0.02440363814739484,0.008135060641776633,0.0006309797136225638,0.00028081443775186525,10.681322439953133,3.977802382575141,2.573210031897933,4.4184168974558515,3.8422031535042658
18,0.0001152119024668113,0.021655317636407878,0.007756781177940192,0.0005431286196777501,0.00022478801946379935,14.035763612499943,7.414161929377803,2.8305281047467834,4.574366635746426,3.0077805210042885
19,0.00011467341402619953,0.020210880689987554,0.026841247023117763,0.0005238947982297545,0.0009229503942791511,14.820754960731225,5.881040776217425,3.820474527500294,4.8418052196502686,5.396674094376741
20,0.00011410764764019391,0.020526884298579233,0.007463967168910636,0.0005531570292214596,0.00024390309624356665,10.409368806415133,4.005428384851526,2.353622458599232,4.4700478271201805,3.630588098808571
21,0.00011351488818920786,0.019323389351962598,0.006434532158352711,0.000516243546106962,0.0002121083983823795,10.505327456527287,3.7431609365675182,3.355999893612332,3.1960518934108593,3.6162813592840126
22,0.0001128954341454759,0.019127699201095832,0.007163505811520197,0.0004981366962308125,0.00022973165862451964,10.492951772831105,3.460806696503251,2.637455847528246,5.2445990950972945,3.5447793625019215
23,0.00011224959742276388,0.018305487303334363,0.00934088262901814,0.0004396093094490792,0.00028762977928164656,13.746632851936198,5.741858243942261,4.7939401291034835,3.473614039244475,2.9480549185364335
24,0.00011157770321931102,0.021568386061248224,0.00778473075479269,0.0005205898727273936,0.00026447451037475494,10.348780336203397,3.8495740007471153,2.885674591417666,3.9045078489515515,3.3225556391256825
25,0.0001108800898540829,0.017431704661953196,0.05243134890096607,0.0004410224770903019,0.001826704367111368,16.868084898701422,7.318893105895431,3.6225592030419245,6.202059542691266,5.651205636836864
