epoch,lr,train_loss,val_loss,train_axis,val_axis,val_geom_hva_mae,val_geom_ima_mae,val_direct_hva_mae,val_direct_ima_mae
1,0.00019996590383506793,0.10468399298842997,0.06540169976651669,0.008749184961197897,0.0050063045346178114,23.15926809310913,31.977115154266357,9.618460655212402,9.660832262039184
2,0.0001998636387080801,0.06059068392496556,0.0375620398670435,0.004396410737535916,0.0027295250329189003,18.17918930053711,21.448677015304565,9.100632071495056,5.642600333690643
3,0.00019969327470644626,0.051331034395843744,0.049617426190525296,0.003705464846279938,0.0039147147093899545,25.41507272720337,15.363878393173218,9.0766681432724,4.98413360118866
4,0.0001994549285891432,0.045717901817988606,0.028832512395456433,0.003469834591669496,0.0023119368881452827,21.90398597717285,8.065492224693298,8.886606097221375,4.171293044090271
5,0.00019914876370669414,0.04117519758874551,0.023907827539369465,0.003275314793427242,0.0022038193594198672,9.019254636764526,8.18911807537079,8.78204267024994,3.379346787929535
6,0.0001987749898892162,0.03639423601562157,0.03889508601278067,0.002978893244289793,0.003110759024275467,13.473967361450196,18.506993103027344,8.957272791862488,6.2052045345306395
7,0.00019833386330261348,0.032818671298446137,0.028920048475265504,0.0027248088103078772,0.002324268111260608,10.942191982269287,13.0323401927948,9.089047122001649,4.327688634395599
8,0.00019782568627301365,0.032154486537910996,0.03180563170462847,0.00269395959621761,0.002840744680725038,12.021566486358642,8.368939852714538,9.043091297149658,4.198813545703888
9,0.00019725080707956878,0.0320213915547356,0.026369924144819378,0.002675670858297963,0.0023862964240834116,7.641025447845459,9.357025313377381,8.823020672798156,3.528824508190155
10,0.00019660961971576226,0.030784179421607404,0.054246936459094286,0.002580640223459341,0.004071567405480892,16.409395360946654,29.08548069000244,9.746231818199158,6.266866302490234
11,0.00019590256361938518,0.030917276663240047,0.029650862980633973,0.0025810146238654853,0.0026121225440874697,11.855034625530243,9.990559196472168,8.479684114456177,4.615702998638153
12,0.00019513012337136777,0.03134066602215171,0.04137241942808032,0.0026037918811198323,0.0035219067765865477,14.492217922210694,13.16483724117279,8.907288479804993,4.5684478878974915
13,0.00019429282836367175,0.03183582426281646,0.0253233197145164,0.0027128050845931285,0.0022988283832091837,9.264252138137817,10.098231101036072,8.78445942401886,3.7943794965744018
14,0.00019339125243647155,0.030093703302554786,0.026538155414164065,0.0025794943743676414,0.0023970788024598733,8.50342309474945,10.869176650047303,8.86684672832489,4.255034911632538
15,0.000192426013484873,0.029495411179959775,0.0416792263276875,0.002540578098705737,0.003526794130448252,10.52352352142334,14.890814685821534,8.192850708961487,4.932770562171936
16,0.00019139777303543875,0.029021946887951344,0.03266431479714811,0.0025023318266903516,0.002574725035810843,12.270611476898193,13.26459550857544,7.507732176780701,3.7800245761871336
17,0.0001903072357928111,0.02764633297920227,0.07523481193929911,0.0023687620705459267,0.006333995319437236,16.585496568679808,24.76325616836548,12.853702545166016,6.740034079551696
18,0.00018915514915674255,0.027019057859433815,0.021381131699308754,0.002277263284486253,0.001991472841473296,6.08465405702591,8.15128161907196,6.207039535045624,3.294315588474274
19,0.00018794230270986553,0.026307758362963795,0.021328138839453458,0.002254983165039448,0.0019442105927737429,10.280506277084351,5.738307893276215,5.734382319450378,3.185184919834137
20,0.00018666952767655164,0.02683775731129572,0.06768529620021582,0.002236071687366348,0.005349660979118198,19.426682901382446,24.81800308227539,10.100695919990539,6.24320867061615
21,0.00018533769635323215,0.02893391025136225,0.11372293997555971,0.0024515792698366567,0.010667215334251523,18.110309600830078,13.148228645324707,11.176971793174744,6.2136955738067625
22,0.00018394772151056967,0.030043535941513256,0.027616325113922358,0.0025974346710427197,0.0024302508973050863,10.374971270561218,9.402812266349793,8.060311532020568,3.5853930592536924
