epoch,lr,train_loss,val_loss,val_score,val_hva_mae,val_ima_mae
1,0.00014998124350321674,0.05272214759777232,0.020563329104334116,19.48717005252838,6.2611594796180725,18.8943008184433
2,0.00014992498345732793,0.017626434678166377,0.010124670661753044,13.178862524032592,5.38019996881485,11.140946507453918
3,0.00014983124819096096,0.008719804975946198,0.007579429686302319,11.972310739755631,6.422001421451569,7.929013311862946
4,0.00014970008490264528,0.0063298334314571165,0.006530554193886928,10.6732322499156,5.935383439064026,6.768355444073677
5,0.00014953155963704656,0.005993282889031116,0.007383950083749369,11.961041224002837,7.137228339910507,6.891161262989044
6,0.00014932575725171114,0.0054088108671253654,0.0049775001825764775,8.77987343966961,5.01619815826416,5.376678973436356
7,0.00014908278137433777,0.005753352096194507,0.005446006092824973,9.846080063283443,6.347276300191879,4.998291090130806
8,0.00014880275435059793,0.004838035611589099,0.0038174000364961103,7.914137730747461,5.302452772855759,3.730978511273861
9,0.00014848581718253107,0.004834044210298547,0.004858244559727609,9.17816303372383,5.300855457782745,5.53901082277298
10,0.00014813212945754588,0.00453861766566742,0.0033253960064030252,7.26184741333127,4.792644709348679,3.527432434260845
11,0.0001477418692680632,0.004476630877574709,0.00395755295176059,7.745824924111366,4.530665159225464,4.593085378408432
12,0.00014731523312184108,0.004127286201365656,0.0028332207693892997,6.385851261764765,4.100007727742195,3.2654907628893852
13,0.00014685243584302733,0.004133280837999248,0.0032882099476410076,7.152211119234561,4.2851837277412415,4.095753416419029
14,0.00014635371046398894,0.003879266485337138,0.003806936198088806,7.456368479132652,4.958421662449837,3.568495452404022
15,0.00014581930810797337,0.003898969428837148,0.003644869189884048,7.208819814026356,4.803768888115883,3.4357870370149612
16,0.0001452494978626604,0.004265996005681411,0.004899004481558222,9.001157110929489,5.120643854141235,5.5435903668403625
17,0.00014464456664466837,0.0037821566504312723,0.004966341475665104,8.875072327256202,5.114074990153313,5.372853338718414
18,0.00014400481905508305,0.004140387559442107,0.0027563828916754574,6.180193042755127,3.9838095158338547,3.1376907527446747
19,0.00014333057722608174,0.003740171749500664,0.003818420991592575,7.482164599746465,4.841804951429367,3.7719423547387123
20,0.00014262218065873018,0.004670502878233366,0.0034237352301715873,6.878754305839538,4.273292928934097,3.7220876812934875
21,0.00014187998605203335,0.004312325985931859,0.003118544631433906,6.516067904978991,4.433246687054634,2.9754588827490807
22,0.00014110436712332693,0.003901257171159292,0.0030208110838430002,6.853326112031937,4.221368238329887,3.759939819574356
23,0.00014029571442009928,0.003574805558996078,0.0032364064682042226,6.966199454665183,4.426298156380653,3.628430426120758
