epoch,lr,train_loss,val_loss,val_score,val_hva_mae,val_ima_mae
1,0.00014998124350321674,0.05488768615949202,0.04175065294839442,31.143082201480865,14.90116798877716,23.20273458957672
2,0.00014992498345732793,0.015658460807327818,0.010670360701624304,14.299843049049377,5.139667272567749,13.085965394973755
1,0.00014998124350321674,0.0559277862492131,0.01791149121709168,18.653650507330894,6.528754964470863,17.3212793469429
3,0.00014983124819096096,0.0091621395923591,0.006417208816856146,11.001926088333128,4.210984423756599,9.70134523510933
4,0.00014970008490264528,0.006928272876600788,0.006707551598083228,11.689173060655595,6.280258625745773,7.727020621299744
5,0.00014953155963704656,0.006044452146786015,0.0057827635610010475,10.744513979554176,6.253534272313118,6.415685296058655
6,0.00014932575725171114,0.005560432110224071,0.003970498211856466,8.206014806032181,5.391411021351814,4.020862549543381
7,0.00014908278137433777,0.005350742193802101,0.0029838293412467465,7.520391345024109,3.87363064289093,5.209658145904541
2,0.00014992498345732793,0.01567353180617215,0.01186299417167902,15.095409819483756,5.8611079305410385,13.19185984134674
8,0.00014880275435059793,0.005205088823643793,0.0033754859687178396,7.842658965289592,4.960809722542763,4.1169274896383286
9,0.00014848581718253107,0.005342433012348062,0.004108483066374902,8.518931680172681,5.0994506031274796,4.884972967207432
10,0.00014813212945754588,0.00554998122402694,0.004522987495874986,9.23566626161337,5.604149952530861,5.18788044154644
11,0.0001477418692680632,0.00465833864125567,0.0033009134349413216,7.8649194657802575,4.14442852139473,5.314987063407898
12,0.00014731523312184108,0.004647387749121744,0.003997277817688882,8.668916302919389,4.946746811270714,5.317384988069534
3,0.00014983124819096096,0.009317541566896972,0.005588415981037542,10.300459855794905,5.583422884345055,6.73862424492836
13,0.00014685243584302733,0.004271437965780194,0.0026553333227639087,7.022812446951866,3.8463149070739746,4.537853628396988
14,0.00014635371046398894,0.004552547570045401,0.003469510455033742,8.214312958717347,4.8235152661800385,4.843996703624725
15,0.00014581930810797337,0.004156314916492296,0.0030324974432005547,7.336126087605953,3.4578004330396652,5.540465220808983
16,0.0001452494978626604,0.004679523091346813,0.002287350693222834,6.199844538420439,3.63810858130455,3.659622795879841
4,0.00014970008490264528,0.007116822025178348,0.005712857644539326,10.446534326672554,4.932051554322243,7.877832531929016
17,0.00014464456664466837,0.003935145381251275,0.0026733682316262275,6.723050548136234,3.6592038571834564,4.376923844218254
18,0.00014400481905508305,0.003935744883719741,0.0019978399759565946,5.801410569250583,3.4098089039325714,3.4165738075971603
19,0.00014333057722608174,0.004379496537716832,0.0026197745100944303,6.94368447959423,3.7843598127365112,4.513320952653885
20,0.00014262218065873018,0.003898134000307873,0.0030991393432486802,7.4661801353096955,4.411179274320602,4.364286944270134
21,0.00014187998605203335,0.0034952900278745445,0.004664637439418584,9.432040800154208,6.051056802272797,4.829977139830589
5,0.00014953155963704656,0.006353438303737742,0.005169341937289573,10.088085709512233,5.722118929028511,6.237095400691032
22,0.00014110436712332693,0.0036134180954536348,0.003532674687448889,8.14739175438881,4.669934034347534,4.967796742916107
23,0.00014029571442009928,0.003821457075560844,0.002756163572485093,7.051514339447021,4.1345714926719666,4.16706120967865
24,0.00013945443512333898,0.0037646759519111214,0.003005422913702205,7.577536951005459,4.120740011334419,4.938281342387199
25,0.00013858095284250712,0.0032515503911914804,0.0027640749685815535,7.1499955877661705,3.9874952286481857,4.517857655882835
26,0.000137675707402237,0.003791930430807264,0.004387968307128176,9.108367198705674,5.336623057723045,5.388205915689468
6,0.00014932575725171114,0.005481285725462788,0.006182780547533184,10.907285875082016,5.819715306162834,7.267957955598831
27,0.00013673915462086926,0.0033379244808357483,0.003040418800082989,7.575163468718529,4.574122756719589,4.287201017141342
28,0.00013577176608093355,0.003087678164663929,0.0026834516902454197,7.079045878350735,4.043592840433121,4.3363614827394485
29,0.00013477402889169266,0.003235192854445791,0.003005138183652889,7.519998973608017,4.354740843176842,4.521797329187393
30,0.00013374644544386822,0.0037485130885578084,0.0030221506458474323,7.552814082801342,4.325781434774399,4.61004664003849
7,0.00014908278137433777,0.005239237405121236,0.0039855442737462,8.392746479809285,5.146204456686974,4.637917175889015
31,0.00013268953315667182,0.003385482030367948,0.004026438662549481,8.969515585899352,4.730259492993355,6.056080132722855
32,0.00013160382421726903,0.0030140176020767087,0.0019263393842265941,5.701850748062133,3.619210436940193,2.975200444459915
33,0.00013048986531280689,0.0041739412865457615,0.0032164342555915937,7.735165518522262,4.380778580904007,4.791981339454651
34,0.00012934821735514066,0.003395030465226893,0.002514904670533724,7.003338867425919,3.8518814742565155,4.502081990242004
35,0.0001281794551983978,0.003147319769884301,0.004229600701364689,8.851469293236732,4.216638997197151,6.621186137199402
8,0.00014880275435059793,0.0053631840510354415,0.0029699426304432563,7.185355976223946,4.345944881439209,4.056301563978195
36,0.00012698416734952144,0.003035725461606815,0.0019264935908722691,5.801916000247001,3.5196894705295563,3.260323613882065
37,0.00012576295567193955,0.003039243329142228,0.0033856126901810057,8.161424116790295,4.26205986738205,5.570520356297493
38,0.0001245164350825086,0.002984841645702841,0.0023438766511389986,6.495595207810402,3.2390603721141815,4.652192622423172
39,0.0001232452332418843,0.0034144301120309175,0.0022163363828440197,6.22327800989151,3.875805139541626,3.3535326719284058
40,0.00012194999023847566,0.002875584852503143,0.00200584098638501,5.781456507742405,3.5357387512922287,3.2081682235002518
9,0.00014848581718253107,0.0045976022729741,0.0039401511021424085,8.572921106219292,5.068604230880737,5.006166964769363
41,0.00012063135826614111,0.003507833815240339,0.0036971719746361487,7.721902194619179,4.846895679831505,4.107152163982391
42,0.00011929000129578926,0.0030405664578935783,0.002377227821853012,6.393793503195047,3.9178430438041687,3.5370720848441124
43,0.00011792659474104967,0.002758064769857707,0.0023958196834428236,6.525051930546761,3.9242049157619476,3.7154957354068756
44,0.00011654182511818163,0.0030620705236480156,0.002386102652963018,6.727205953001976,3.8011568188667297,4.18007019162178
10,0.00014813212945754588,0.005484992296556086,0.005142544352565892,9.678843232989312,5.274732857942581,6.291586250066757
45,0.00011513638970039256,0.0030427273113007953,0.0020712288896902464,6.039629647135735,3.5535428524017334,3.551552563905716
46,0.00011371099616674,0.0027930087337035654,0.0033642866765148938,7.984901075065135,4.666253596544266,4.740924969315529
47,0.00011226636224579383,0.0031865395409645648,0.002566560906416271,6.946815562248229,4.052187666296959,4.135182708501816
48,0.00011080321535423838,0.0027309642064506263,0.002338571648579091,6.543975132703781,3.376089960336685,4.5255502462387085
49,0.00010932229223059622,0.002654697322021655,0.002243391238152981,6.34466174095869,3.6542774736881256,3.843406096100807
11,0.0001477418692680632,0.004908019398543529,0.00374267554434482,8.19840253740549,4.537044674158096,5.230511233210564
50,0.00010782433856425805,0.0026435033099752345,0.0029701034509344026,7.533246503770352,3.918535590171814,5.163872733712196
51,0.00010631010862000576,0.002405907983354073,0.003276481722423341,7.865100918710231,4.706824600696564,4.511823311448097
52,0.00010478036485821728,0.002579439716788418,0.0032099054151331075,7.7370106965303425,4.670777529478073,4.380333095788956
53,0.00010323587755094489,0.002611385029693308,0.0020528051791188773,5.967598870396614,3.293321207165718,3.820396661758423
54,0.00010167742439406001,0.0028251806906768977,0.0022655103166471235,6.433071240782738,3.940466210246086,3.5608643293380737
12,0.00014731523312184108,0.00480322983604288,0.004169874038780108,8.823475325107573,4.531443387269974,6.131474196910858
